name;trade;primary_postal_codes;alternative_postal_code
Protze;Erdsonden;01,02,03,04,05,06,07,08,09;98,99
Erdwärmebohrer;Erdsonden;18,19,20,21,22,23,24,25,26,27,28,29,30,31,40,41,42,43,44,45,46,47,48,49;01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,32,33,34,35,36,37,38,39,50,51,52,53,54,55,56,57,58,59
Brück;Erdsonden;10,11,12,13,14,15,16,17;
Gross;Erdsonden;;18,19,20,21,25,26,27,28,29,30,31,32,33,38,39
B&B Nord;Erdsonden;;20,22,23,24,25
Sadurski;Erdsonden;;31,32,33,48,49
Bunse;Erdsonden;32,33,34,35,36,37,38,39,50,51,52,53,54,55,56,57,58,59,66,67,68,69,72,73,74,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99;40,41,42,43,44,45,46,47,48,49,60,61,62,63,64,65,70,71
Geo-Bohrtechnik;Erdsonden;60,61,62,63,64,65;34,35,36
Knüsting;Erdsonden;;40,41,42,43,44,45,46,47,48
Hölker;Erdsonden;;54,55,66,67
Kunkel;Erdsonden;;60,61,62,63,64,65,68,69
Handke;Erdsonden;;60,61,62,63,64,65
BTR Roßwag;Erdsonden;70,71,75;
Koch;Erdsonden;;72,78
Engel;Erdsonden;;80,81,84,85,86,89,90,92,93,95
Mayer;Erdsonden;;80,81,82,83
Vögerl & Wilks;Erdsonden;;80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Sinvelop;Erdsonden;;82,83
Kern;Erdsonden;;90,91,92,95,96
Kosak;Erdsonden;;93,94
